gene,distance,Z,FC,p.value,p.adj
TOLLIP,1.49402939806809e-09,-0.00949924705682295,0.00634759997647048,0.936498267206324,0.999950297526443
PDRG1,1.49354511797297e-09,-0.00972257606483667,0.00634348557535765,0.936518807393421,0.999950297526443
FCRL2,1.49312368905229e-09,-0.0099169775256502,0.00633990623773348,0.936536681854121,0.999950297526443
CCDC97,1.49249718114074e-09,-0.0102060777056645,0.00633458696227266,0.936563254581828,0.999950297526443
COPS7A,1.49242335421409e-09,-0.0102401526060285,0.00633396029238496,0.936566385884241,0.999950297526443
HAUS1,1.49217483283119e-09,-0.0103548698451733,0.00633185098003277,0.936576926701442,0.999950297526443
RELB,1.49164427671987e-09,-0.0105998355665239,0.00632734908799333,0.93659942981229,0.999950297526443
TMEM165,1.4912075870937e-09,-0.0108015246156148,0.00632364487607892,0.936617951689645,0.999950297526443
RNF11,1.49042376302106e-09,-0.0111636834017318,0.0063169988229779,0.936651197111653,0.999950297526443
PTPN18,1.49012935170135e-09,-0.0112997608102642,0.00631450340882991,0.936663684417513,0.999950297526443
PRCC,1.48980590438792e-09,-0.0114492885218294,0.00631176245550476,0.936677403288187,0.999950297526443
PRDM4,1.48852942673942e-09,-0.0120397012884527,0.00630095115169968,0.936731544690472,0.999950297526443
GTF3C5,1.48824178238372e-09,-0.0121728134748335,0.00629851618752104,0.936743745076716,0.999950297526443
UBA7,1.48687058119894e-09,-0.0128076999030075,0.00628691517712315,0.936801904545002,0.999950297526443
NOP56,1.48558859216122e-09,-0.013401789444669,0.00627607861628987,0.936856280387032,0.999950297526443
ARL6IP4,1.48511935891648e-09,-0.0136193612181178,0.00627211455832855,0.93687618309013,0.999950297526443
PMPCA,1.4850554216464e-09,-0.0136490124575029,0.00627157451654985,0.936878895016342,0.999950297526443
UTP11L,1.48430368460206e-09,-0.0139977265254993,0.00626522676472903,0.936910780314283,0.999950297526443
RBMX2,1.4841218576346e-09,-0.0140820975207569,0.00626369188016364,0.93691849261009,0.999950297526443
MTRNR2L12,1.48391561130561e-09,-0.0141778115777334,0.00626195108821267,0.936927240674381,0.999950297526443
SPSB2,1.48334303721801e-09,-0.0144435968005269,0.00625711962855557,0.936951526794691,0.999950297526443
PTBP1,1.48276301137151e-09,-0.0147129417273498,0.00625222719107567,0.936976129046244,0.999950297526443
CCDC94,1.48246603346742e-09,-0.0148508877335309,0.0062497229643459,0.936988725620442,0.999950297526443
